256	60.28193
320	60.10102
384	60.19249
448	60.19519
512	60.26569
640	60.3385
768	60.15742
896	60.28983
1024	60.31173
1280	60.32979
1536	60.33521
1792	60.23301
2048	60.33613
2560	57.60082
3072	60.24854
3584	60.18009
4096	60.25217
5120	58.80978
6144	58.94397
7168	59.01576
8192	58.96829
10240	27.52706
12288	27.40536
14336	27.42916
16384	27.40591
20480	27.57886
24576	27.4065
28672	27.59361
32768	25.40896
40960	25.74391
49152	21.61415
57344	20.14517
65536	19.73616
81920	18.37219
98304	16.07098
114688	15.86467
131072	14.96162
163840	14.35515
196608	14.16867
229376	14.18781
262144	14.19602
327680	14.19673
393216	14.19266
458752	14.18105
524288	14.18627
655360	14.18709
786432	14.17175
917504	14.15064
1048576	14.15261
1310720	13.8233
1572864	13.7251
1835008	13.12621
2097152	12.71676
2621440	10.96754
3145728	9.35453
3670016	8.51161
4194304	8.34552
5242880	7.93299
6291456	7.212
7340032	7.23976
8388608	7.11336
10485760	6.95196
12582912	6.88957
14680064	6.76586
16777216	6.74759
20971520	6.70295
25165824	6.61154
29360128	6.63281
33554432	6.62434
41943040	6.55637
50331648	6.57771
58720256	6.57595
