256	31.73371
320	31.67676
384	31.69911
448	31.73584
512	31.71421
640	31.65868
768	31.48274
896	31.39584
1024	31.47252
1280	29.31561
1536	31.39695
1792	31.48052
2048	31.46662
2560	30.30794
3072	30.42612
3584	30.45465
4096	30.54916
5120	14.27796
6144	13.34223
7168	13.29585
8192	13.20534
10240	13.27754
12288	13.28597
14336	13.23932
16384	13.22798
20480	13.23166
24576	12.92415
28672	11.86008
32768	11.32114
40960	9.85017
49152	9.26321
57344	8.22645
65536	7.89753
81920	7.76933
98304	7.77355
114688	7.75775
131072	7.75005
163840	7.78026
196608	7.77896
229376	7.78002
262144	7.77821
327680	7.77378
393216	7.775
458752	7.77406
524288	7.77456
655360	7.70861
786432	7.68221
917504	7.49469
1048576	7.38848
1310720	6.87087
1572864	5.93294
1835008	5.22125
2097152	5.10039
2621440	5.04067
3145728	4.65231
3670016	4.38783
4194304	4.36804
5242880	4.22135
6291456	4.18352
7340032	4.15022
8388608	4.12348
10485760	4.06943
12582912	4.05259
14680064	4.02725
16777216	4.01965
20971520	3.99631
25165824	3.98733
29360128	3.92826
33554432	3.96935
41943040	3.94687
50331648	3.9411
58720256	3.88439
