256	7.90628
320	7.90571
384	7.9048
448	7.90746
512	7.95812
640	7.95954
768	7.96253
896	7.96324
1024	7.9628
1280	7.96305
1536	7.96093
1792	7.9622
2048	7.96209
2560	7.96277
3072	7.96249
3584	7.96303
4096	7.93901
5120	7.90443
6144	7.90668
7168	7.90319
8192	7.90479
10240	7.90765
12288	7.90347
14336	7.90217
16384	7.90679
20480	7.90099
24576	7.89992
28672	7.90309
32768	7.89823
40960	7.8273
49152	7.76601
57344	7.63438
65536	7.52358
81920	7.52369
98304	7.52146
114688	7.51551
131072	7.51554
163840	7.52885
196608	7.5237
229376	7.52564
262144	7.52181
327680	7.48815
393216	7.51915
458752	7.52357
524288	7.51684
655360	7.49142
786432	7.36449
917504	6.89139
1048576	6.54035
1310720	5.85348
1572864	5.63169
1835008	5.47462
2097152	5.35203
2621440	4.98741
3145728	4.74999
3670016	4.50145
4194304	4.29876
5242880	4.22082
6291456	4.19303
7340032	4.14437
8388608	4.12236
10485760	4.05728
12582912	4.05872
14680064	4.01155
16777216	4.00374
20971520	3.97833
25165824	3.96551
29360128	3.95596
33554432	3.95165
41943040	3.94311
50331648	3.9345
58720256	3.93217
