256 10.19427
288 13.04600
320 13.30864
352 13.45540
384 13.44054
416 13.93887
448 13.94465
480 14.08665
512 14.02045
576 14.17738
640 12.72078
704 14.61429
768 13.14051
832 13.29535
896 13.48239
960 13.61786
1024 13.71949
1152 13.93596
1280 14.13689
1408 14.26314
1536 14.39310
1664 14.51757
1792 14.57457
1920 14.66838
2048 14.76705
2304 14.86513
2560 14.86002
2816 14.86831
3072 14.68122
3328 12.82113
3584 11.53732
3840 10.80468
4096 10.01700
4608 9.17881
5120 8.26502
5632 8.93546
6144 8.24079
6656 8.74741
7168 8.51771
7680 8.73743
8192 8.62582
9216 8.78180
10240 8.27815
11264 8.59701
12288 8.28914
13312 8.36313
14336 8.36535
15360 8.23763
16384 8.22513
18432 8.28353
20480 7.73980
22528 7.13934
24576 6.76165
26624 6.35345
28672 5.96775
30720 5.52201
32768 5.06444
36864 4.82523
40960 4.71155
45056 4.68102
49152 4.65888
53248 4.65855
57344 4.66147
61440 4.66357
65536 4.66147
73728 4.66454
81920 4.66406
90112 4.66372
98304 4.66502
106496 4.65985
114688 4.65791
122880 4.66098
131072 4.66050
147456 4.64951
163840 4.65561
180224 4.65854
196608 4.65837
212992 4.66049
229376 4.66712
245760 4.66633
262144 4.66487
294912 4.65688
327680 4.65863
360448 4.65611
393216 4.64246
425984 4.64151
458752 4.61010
491520 4.56790
524288 4.52368
589824 4.38979
655360 4.19154
720896 4.11258
786432 4.01796
851968 3.93694
917504 3.85561
983040 3.80839
1048576 3.66625
1179648 3.59629
1310720 3.49580
1441792 3.34480
1572864 3.30558
1703936 3.23509
1835008 3.10711
1966080 3.12164
2097152 3.01099
2359296 2.89281
2621440 2.77190
2883584 2.75941
3145728 2.78653
3407872 2.74788
3670016 2.72071
3932160 2.70547
4194304 2.67260
4718592 2.65911
5242880 2.63566
5767168 2.62095
6291456 2.61159
6815744 2.57462
7340032 2.61206
7864320 2.58514
8388608 2.58345
9437184 2.57144
10485760 2.57051
11534336 2.57010
12582912 2.57641
13631488 2.56418
14680064 2.57698
15728640 2.57783
16777216 2.58568
18874368 2.58193
20971520 2.58493
23068672 2.58104
25165824 2.55458
27262976 2.57830
29360128 2.57381
31457280 2.57783
33554432 2.57561
37748736 2.54620
41943040 2.56972
46137344 2.56582
50331648 2.54059
54525952 2.54842
58720256 2.52805
62914560 2.54221
