256	63.55006
320	63.55451
384	63.54831
448	63.598
512	63.51698
640	63.55271
768	63.59197
896	63.54681
1024	63.43293
1280	62.09664
1536	63.30033
1792	63.48519
2048	63.5636
2560	62.92638
3072	62.92343
3584	63.00666
4096	63.08855
5120	63.21535
6144	63.21097
7168	63.25163
8192	63.20144
10240	54.65392
12288	55.08292
14336	55.72267
16384	55.19729
20480	55.26108
24576	55.1634
28672	55.2736
32768	54.92286
40960	55.05024
49152	55.33286
57344	55.75012
65536	48.05504
81920	37.64799
98304	32.59198
114688	30.88475
131072	30.61222
163840	30.77761
196608	30.76123
229376	30.76115
262144	30.75954
327680	30.75817
393216	30.76808
458752	30.71249
524288	30.73383
655360	30.73624
786432	30.70906
917504	30.6545
1048576	30.64122
1310720	30.52466
1572864	30.02911
1835008	27.07084
2097152	25.32601
2621440	21.2793
3145728	18.38698
3670016	17.50393
4194304	17.51595
5242880	16.7247
6291456	15.576
7340032	14.78926
8388608	14.60754
10485760	14.26391
12582912	14.11242
14680064	13.98684
16777216	13.96676
20971520	13.7873
25165824	13.76959
29360128	13.75592
33554432	13.70429
41943040	13.6639
50331648	13.65732
58720256	13.64287
